iter	Logloss
0	0.6240420328
1	0.5725628212
2	0.5245875244
3	0.4864111166
4	0.4544838613
5	0.4282220063
6	0.4076535565
7	0.3888295082
8	0.3738840683
9	0.3571489928
10	0.3431335024
11	0.3320958588
12	0.320385272
13	0.3123648471
14	0.3044886688
15	0.2970885143
16	0.2901278123
17	0.2811066493
18	0.2727032811
19	0.2679938175
20	0.2645944583
21	0.2590209825
22	0.2549439226
23	0.2508093979
24	0.2466261245
25	0.2435018253
26	0.2390526702
27	0.2362260052
28	0.2329297951
29	0.2296174134
30	0.2270280418
31	0.2247691595
32	0.221689123
33	0.2192822919
34	0.2169159904
35	0.2151704197
36	0.2127397342
37	0.211020911
38	0.2085864903
39	0.2066920086
40	0.2051856052
41	0.2040069535
42	0.2005745728
43	0.1993029082
44	0.1976398796
45	0.1959805619
46	0.1950307407
47	0.1933841374
48	0.1918936344
49	0.1908659347
50	0.1887744252
51	0.1876342245
52	0.1861936582
53	0.1854810674
54	0.1838948179
55	0.1831417763
56	0.1824195041
57	0.1801074009
58	0.1792223684
59	0.178302171
60	0.1769609762
61	0.1762366423
62	0.1742146097
63	0.172224887
64	0.171602632
65	0.1707422852
66	0.169466036
67	0.1687959238
68	0.1669861058
69	0.1664202038
70	0.1658798842
71	0.1654592898
72	0.1643173488
73	0.163585039
74	0.163116866
75	0.1625271303
76	0.1621467247
77	0.1614385968
78	0.1603794761
79	0.1600641195
80	0.159585732
81	0.1591068176
82	0.1582444282
83	0.1575034202
84	0.1571692773
85	0.1568267206
86	0.1561597786
87	0.1554672207
88	0.155045983
89	0.154421918
90	0.1539951739
91	0.1534107787
92	0.1526859726
93	0.1519650375
94	0.1510325624
95	0.1504529764
96	0.1493247932
97	0.1488147782
98	0.1483799806
99	0.1481023721
100	0.14762982
101	0.1471107054
102	0.1467276891
103	0.146370362
104	0.1460386299
105	0.145640359
106	0.1454127537
107	0.1450560306
108	0.1444641894
109	0.143950585
110	0.1435154201
111	0.1432164847
112	0.1425246658
113	0.1421109444
114	0.1418920611
115	0.1416653047
116	0.1413127313
117	0.1410073365
118	0.1407715972
119	0.1405386839
120	0.1403535468
121	0.140076675
122	0.1396681804
123	0.1393021688
124	0.1390237272
125	0.1386079555
126	0.1383961608
127	0.1382270248
128	0.1380399315
129	0.1377958077
130	0.137575627
131	0.1373440074
132	0.1370961831
133	0.1368568278
134	0.1368551338
135	0.136532921
136	0.1362800174
137	0.1360870701
138	0.1355552964
139	0.1352595945
140	0.1350641804
141	0.1348599006
142	0.1345756538
143	0.1342427546
144	0.1339721357
145	0.1337343355
146	0.1335427321
147	0.1333158455
148	0.1328814823
149	0.1325029201
